cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
191,SDLL,SP0048,YOLANDA PENTEADO,LEME,SP,22° 13' 33'' S,47° 22' 51'' W
192,SDLP,SP0034,MUNICIPAL JOSÉ BOSO,LENÇÓIS PAULISTA,SP,22° 34' 42'' S,48° 46' 28'' W
193,SDLY,SP0071,ARMANDO NATALI,MATÃO,SP,21° 37' 27'' S,48° 21' 3'' W
194,SDMH,SP0059,MIRASSOL,MIRASSOL,SP,20° 48' 26'' S,49° 29' 10'' W
195,SDMJ,SP0022,MOGI MIRIM,MOGI MIRIM,SP,22° 24' 39'' S,46° 54' 20'' W
196,SDMO,SP0068,MONTE ALTO,MONTE ALTO,SP,21° 15' 29'' S,48° 31' 27'' W
197,SDNH,SP0060,NOVO HORIZONTE,NOVO HORIZONTE,SP,21° 29' 52'' S,49° 14' 4'' W
198,SDNM,MT0047,BRIGADEIRO EDUARDO GOMES,NOVA MUTUM,MT,13° 49' 16'' S,56° 2' 19'' W
199,SDNO,SP0061,NELSON GARÓFALO,SÃO MANUEL,SP,22° 41' 46'' S,48° 34' 34'' W
200,SDOU,SP0023,JORNALISTA BENEDITO PIMENTEL,OURINHOS,SP,22° 58' 25'' S,49° 54' 41'' W
201,SDOV,GO0005,MOZARLÂNDIA,MOZARLÂNDIA,GO,14° 46' 8'' S,50° 33' 54'' W
202,SDOW,PA0021,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,PA,6° 45' 47'' S,51° 2' 60'' W
203,SDPD,SP0072,PINDAMONHANGABA,PINDAMONHANGABA,SP,22° 56' 38'' S,45° 25' 55'' W
204,SDPE,TO0003,PORTO NACIONAL,PORTO NACIONAL,TO,10° 43' 5'' S,48° 23' 56'' W
205,SDPN,SP0024,PENÁPOLIS,PENÁPOLIS,SP,21° 24' 36'' S,50° 2' 1'' W
206,SDPV,SP0040,PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,SP,21° 53' 36'' S,51° 53' 4'' W
207,SDPW,SP0041,PEDRO MORGANTI,PIRACICABA,SP,22° 42' 43'' S,47° 37' 5'' W
208,SDPY,SP0066,PIRASSUNUNGA,PIRASSUNUNGA,SP,22° 1' 40'' S,47° 25' 18'' W
209,SDRK,SP0049,RIO CLARO,RIO CLARO,SP,22° 25' 54'' S,47° 33' 45'' W
210,SDRR,SP0028,AVARÉ-ARANDU,AVARÉ,SP,23° 5' 32'' S,48° 59' 14'' W
211,SDRS,RJ0007,RESENDE,RESENDE,RJ,22° 28' 43'' S,44° 28' 54'' W
212,SDSC,SP0029,MÁRIO PEREIRA LOPES,SÃO CARLOS,SP,21° 52' 35'' S,47° 54' 12'' W
213,SDTB,SP0069,ATIBAIA,ATIBAIA,SP,23° 7' 42'' S,46° 34' 29'' W
214,SDTF,SP0050,TATUÍ,TATUÍ,SP,23° 19' 55'' S,47° 52' 48'' W
215,SDTI,SP0073,TUPI PAULISTA,TUPI PAULISTA,SP,21° 23' 36'' S,51° 36' 3'' W
216,SDTK,RJ0011,PARATY,PARATY,RJ,23° 13' 26'' S,44° 43' 24'' W
217,SDTP,SP0025,JOSÉ VICENTE FARIA LIMA,TUPÃ,SP,21° 53' 24'' S,50° 30' 21'' W
218,SDUB,SP0065,ESTADUAL GASTÃO MADEIRA,UBATUBA,SP,23° 26' 29'' S,45° 4' 34'' W
219,SDUN,RJ0008,ITAPERUNA,ITAPERUNA,RJ,21° 13' 9'' S,41° 52' 33'' W
220,SDUQ,SP0042,PARAGUAÇU PAULISTA,PARAGUAÇU PAULISTA,SP,22° 25' 37'' S,50° 36' 25'' W
221,SDVE,SP0070,VERA CRUZ,VERA CRUZ,SP,22° 13' 49'' S,49° 49' 1'' W
222,SDVG,SP0026,DOMINGOS PIGNATARI,VOTUPORANGA,SP,20° 27' 26'' S,50° 0' 9'' W
223,SDWQ,PA0027,ALENQUER,ALENQUER,PA,1° 55' 1'' S,54° 43' 22'' W
